accession,date,pango
MZ256151.1,2021-03-04,B.1.2
MZ023213.1,2021-03-28,B.1.1.7
ON582098.1,2021-11-08,AY.99.2
MZ085902.1,2021-04-08,B.1.1.7
OB991691.1,2020-10-23,B.1.177.18
ON084807.1,2022-01-15,BA.1
OU013138.1,2021-02-18,B.1.1.7
MZ401160.1,2021-05-27,B.1.1.7
MZ245367.1,2021-05-11,Q.3
MZ354183.1,2021-05-11,B.1.1.7
MZ319759.1,2021-05-17,B.1.1.7
ON485132.1,2021-07-15,AY.26
OM429901.1,2022-01-10,BA.1.1
OD944844.1,2021-01-17,B.1.1.7
OM775179.1,2022-02-01,BA.1.1
ON116224.1,2020-11-13,B.1.2
OL995238.1,2021-12-10,AY.103
OB996328.1,2020-10-26,B.1.177
ON096188.1,2022-01-28,BA.1.1
OW418420.1,2021-12-24,BA.1.15.1
OC997884.1,2020-11-11,B.1.177
OK654107.1,2020-12-16,B.1.311
OW104190.1,2021-12-28,BA.1.8
MW904617.1,2021-03-16,B.1.1.7
MZ453859.1,2021-03-30,B.1.1.7
OV340130.1,2021-12-07,AY.43.9
OU798358.1,2021-06-02,AY.9
ON304862.1,2022-01-05,BA.2
OU384591.1,2021-02-13,B.1.1.7
ON559292.1,2022-01-18,BA.1.1.18
OL926482.1,2021-11-22,AY.103
MZ025589.1,2021-04-05,B.1.1.7
OK322726.1,2021-01-18,B.1.609
MW796829.1,2021-02-23,B.1.1.519
MW994116.1,2021-03-11,B.1.1.7
OD917957.1,2020-12-18,B.1.177.16
MW693864.1,2021-02-11,B.1.2
OD898835.1,2020-11-15,AD.2
OA992872.1,2020-09-25,B.1.1.37
ON230839.1,2022-01-25,BA.1.1
OL884752.1,2021-11-16,AY.44
OM011772.1,2021-11-27,AY.103
OW101885.1,2021-12-14,AY.4.2
OU388450.1,2021-06-08,B.1.1.7
OU899828.1,2021-10-06,AY.4.2.1
ON271815.1,2022-01-04,AY.9.2
MZ343630.1,2021-05-11,B.1.1.7
OM263322.1,2021-12-15,AY.44
MW967281.1,2021-03-24,B.1.1.25
OM395480.1,2022-01-18,BA.1.1
OM904705.1,2022-01-18,BA.1.1
OD982395.1,2021-01-21,B.1.1.7
MZ705387.1,2021-07-07,P.1
OL975837.1,2021-11-17,AY.103
OA998483.1,2020-10-02,B.1
OD919431.1,2020-12-18,B.1.1.7
OD942253.1,2021-01-12,B.1.1.7
MZ210863.1,2021-04-09,B.1.429
MZ290992.1,2021-05-06,B.1.1.7
OU807181.1,2021-08-27,AY.4
MZ498282.1,2021-04-12,B.1.1.7
OU423338.1,2021-06-30,AY.4
OD918679.1,2020-12-14,B.1.1.7
OV308569.1,2021-08-10,AY.4
OM000629.1,2021-10-19,AY.47
OL725178.1,2021-11-02,AY.44
OM360080.1,2022-01-04,BA.1
OW106525.1,2021-12-26,BA.1
OM871169.1,2022-02-01,BA.1.1
OV197188.1,2021-11-02,AY.4
OM095522.1,2021-12-04,AY.44
MZ034640.1,2021-04-09,B.1.1.7
OM410369.1,2022-01-10,BA.1.1
OL864716.1,2021-12-02,AY.118
MZ321689.1,2021-04-29,B.1.1.7
OA983808.1,2020-09-09,B.1.1.286
MW975808.1,2021-03-02,B.1.526
OW473079.1,2021-11-10,AY.4
OA985213.1,2020-09-23,B.1.1.307
OA998955.1,2020-09-25,B.1.177.11
OU958113.1,2021-09-14,AY.4
OL786370.1,2021-11-17,AY.44
OD966118.1,2021-01-28,B.1.1.7
MZ288190.1,2021-05-03,B.1.1.7
MZ721955.1,2020-12-23,B.1.429
MZ023389.1,2021-03-27,B.1.1.7
OU806364.1,2020-10-01,B.1.1.277
ON475640.1,2021-12-29,AY.25.1
OL700871.1,2021-09-09,AY.44
OM519826.1,2022-01-18,BA.1.15
OL950285.1,2021-11-07,AY.25
OM099898.1,2021-12-20,B.1.1
ON434250.1,2021-11-09,AY.4
OL992635.1,2021-12-06,AY.39.1
OM196195.1,2021-12-29,BA.1.20
OA995101.1,2020-10-09,B.1.235
OL954645.1,2021-11-01,AY.54
OM336888.1,2021-12-24,BA.1.20
OM233188.1,2021-12-28,BA.1.15
OM457542.1,2021-12-22,BA.1.1
OL714677.1,2021-11-04,AY.44
OL912461.1,2021-12-11,AY.103
OM628218.1,2022-01-28,BA.1.1
OU796126.1,2021-02-06,B.1.1.7
OM408316.1,2022-01-06,BA.1.1
ON483601.1,2021-10-13,AY.20
OM358380.1,2022-01-03,BA.1.1
OM854907.1,2022-01-06,BA.1.1.18
OU660773.1,2021-07-25,AY.4
OW469149.1,2022-01-17,BA.1.1.13
OW405295.1,2022-01-05,BA.1.7
OM437161.1,2022-01-04,BA.1.15
OL760243.1,2021-11-15,AY.119
OD994964.1,2021-02-15,B.1.1.7
OC996748.1,2020-11-05,B.1.177
OB993952.1,2020-11-04,B.1.177.57
OD928579.1,2020-12-29,B.1.1.7
OL909325.1,2021-12-10,AY.44
OK439831.1,2021-02-04,B.1.637
ON207963.1,2021-12-25,BA.1.15
OU419301.1,2021-07-01,AY.4
OD928158.1,2020-12-31,B.1.1.7
MZ664900.1,2021-04-14,B.1.2
OM566741.1,2022-01-20,BA.1.1
OW509974.1,2022-01-10,BA.1.1.4
OM083013.1,2021-12-17,AY.25.1
OM043856.1,2021-12-17,AY.46.4
OB988092.1,2020-10-12,B.1.177.11
OM664874.1,2022-01-29,BA.1.1
OW481198.1,2021-12-11,AY.4.2
OD969279.1,2021-01-28,B.1.1.7
OL996599.1,2021-12-08,AY.44
OK472748.1,2021-08-04,B.1.617.2
OK233632.1,2021-05-31,B.1.1.7
OV077671.1,2021-10-26,AY.121
OM096817.1,2021-12-18,BA.1.1
OV319986.1,2021-11-29,AY.4.2
OB998191.1,2020-11-09,B.1.177
ON130336.1,2021-10-15,AY.3
OM270814.1,2021-12-26,AY.100
OL910160.1,2021-11-15,AY.20
MZ500540.1,2020-12-28,B.1.2
OM223944.1,2021-12-19,AY.39
OA982684.1,2020-09-11,B.1.177.53
OW524094.1,2022-01-03,BA.1
OK243574.1,2021-07-01,P.1.17
OW109094.1,2021-12-05,AY.4
OM398167.1,2022-01-06,BA.1.1
OM117080.1,2021-12-20,AY.3
OW102949.1,2021-12-19,AY.4
OM855274.1,2022-01-03,BA.1.1
OL951821.1,2021-11-08,AY.103
OL917129.1,2021-11-29,AY.25
OM043425.1,2021-12-15,BA.1.17.2
OM524951.1,2021-11-13,AY.39
OM519924.1,2022-01-18,BA.1.1
ON647604.1,2021-06-17,AY.38
OL907952.1,2021-11-18,AY.25
MW869945.1,2021-03-06,B.1.429
OK219504.1,2021-04-23,B.1.1.7
OU811155.1,2021-06-01,AY.9
OB999275.1,2020-11-08,B.1.389
MZ239517.1,2021-04-15,B.1.1.7
OM487250.1,2021-12-09,AY.44
OK341138.1,2021-03-31,B.1.1.7
OL836513.1,2021-11-23,AY.129
OL965587.1,2020-11-27,B.1.2
OW517940.1,2022-01-23,BA.1
OL833925.1,2021-11-19,AY.113
MZ295530.1,2021-05-08,B.1.1.7
MW973101.1,2020-12-22,B.1.2
OV009667.2,2021-10-19,AY.4.2.1
OL481308.1,2021-10-25,AY.75
MZ048679.1,2021-04-06,B.1.2
OM497893.1,2022-01-18,BA.1.1
OD946117.1,2021-01-18,B.1.1.7
MZ283704.1,2021-04-22,B.1.1.7
ON281435.1,2021-08-05,AY.43
OM133382.1,2021-12-23,BA.1.15
OC998885.1,2020-11-11,B.1.177
OM198613.1,2021-12-23,BA.1.1
MZ015244.1,2021-04-13,B.1.1.7
MW550571.1,2020-11-30,B.1
OM310420.1,2021-12-30,BA.1
OM395987.1,2022-01-04,BA.1.18
OM793385.1,2021-12-27,AY.3
OM272050.1,2022-01-03,BA.1.1
OV321253.1,2021-11-29,AY.4
OM487658.1,2021-12-23,B.1.617.2
ON446199.1,2021-11-22,AY.98.1
OL829494.1,2021-11-12,AY.119.2
OD911287.1,2020-12-13,B.1.160
OL931405.1,2021-11-16,AY.25.1
MZ531537.1,2021-06-12,P.1
OL822110.1,2021-12-01,AY.25.1
OM499909.1,2022-01-19,BA.1
MW938600.1,2021-03-10,B.1.1.7
OM685570.1,2022-01-22,BA.1.1
OC999357.1,2020-10-30,B.1.177
OL852987.1,2021-11-17,AY.44
OB984766.1,2020-10-08,B.1.177
OD908225.1,2020-11-18,B.1.221.1
OM510823.1,2022-01-20,BA.1.1
OW514074.1,2021-09-28,AY.4
MW719698.1,2021-02-20,B.1.110.3
OK192630.1,2021-03-26,B.1.1.7
OL957364.1,2021-11-21,AY.3
OW094983.1,2021-01-30,B.1.1.7
OB987952.1,2020-10-20,B.1.177
OM407105.1,2022-01-16,BA.1
OM361554.1,2022-01-06,BA.1.20
OL869852.1,2021-11-19,AY.103
OV447472.1,2021-12-05,AY.4
OU347876.1,2021-06-10,AY.122
OM851636.1,2022-01-30,BA.1.1
OM395847.1,2022-01-03,BA.1.1
OK081123.1,2021-08-06,B.1.617.2
MW430990.1,2020-12-20,B.1
OM660072.1,2022-01-20,BA.1.1.18
OM143651.1,2021-11-12,AY.122
ON230350.1,2022-01-25,B.1.1.529
MW454518.1,2020-09-21,B.1
OL750623.1,2021-11-17,AY.39
OA991530.1,2020-10-06,B.1.177
OM665243.1,2022-01-29,BA.1.15
OL754345.1,2021-11-04,AY.103
MZ779783.1,2021-03-09,B.1.1.7
MZ168005.1,2021-04-12,B.1.617
OA982290.1,2020-09-10,B.1.177.15
OM360203.1,2022-01-04,BA.1.17
OL909944.1,2021-09-27,AY.122
OV005441.1,2021-10-13,AY.4
OK252852.1,2021-03-23,B.1.1.7
MW777128.1,2021-02-16,B.1.2
MW841876.1,2021-03-01,B.1.1.7
MW666494.1,2021-02-01,B.1.2
OM528667.1,2022-01-20,BA.1.1
ON597081.1,2022-01-16,BA.1.1
OV312377.1,2021-10-04,AY.4
OL878198.1,2021-11-03,AY.3
OD942541.1,2021-01-14,B.1.177
OU031143.1,2021-01-30,B.1.1.7
OU793798.1,2021-06-27,AY.4
OM031156.1,2021-11-23,AY.3
OL869790.1,2021-11-17,AY.103
MZ082645.1,2021-04-05,B.1.1.7
OD938070.1,2021-01-09,B.1.1.7
BS000968.1,2020-11-15,B.1.1.214
OL994628.1,2021-12-09,AY.34.1
OD916587.1,2020-12-13,B.1.177
OD927308.1,2020-12-14,B.1.177.19
MZ491398.1,2021-06-09,B.1.1.7
OM569418.1,2022-01-22,BA.1.1
OM155538.1,2021-12-22,BA.1.1
OL709295.1,2021-11-14,AY.44
OU395973.1,2021-01-14,B.1.1.7
OL819847.1,2021-11-29,AY.114
OK653082.1,2021-04-01,B.1.429
OM484210.1,2022-01-11,BA.1.20
OM616170.1,2021-12-28,BA.1.1
OL731886.1,2021-11-09,AY.25.1
OA997517.1,2020-09-21,B.1.36.17
OM159888.1,2021-12-20,BA.1.1.2
MZ214215.1,2021-04-13,Q.3
OX083580.1,2022-01-03,BA.1.1
MW577077.1,2021-01-12,B.1.577
MW975796.1,2021-03-01,B.1.637.1
OM688532.1,2022-01-02,BA.1.20
OD929979.1,2021-01-03,B.1.1.7
OD963437.1,2021-01-26,B.1.1.7
OM461040.1,2021-12-28,AY.103
ON298038.1,2020-09-25,B.1.160
OD987542.1,2021-01-31,B.1.1.7
MZ454573.1,2021-05-04,B.1.1.7
ON670001.1,2021-08-27,AY.39.1.1
MW906009.1,2021-03-18,B.1.1.7
OL991177.1,2021-12-01,AY.44
OM922228.1,2021-12-07,AY.3
OD985957.1,2021-02-12,B.1.1.7
OD915808.1,2020-12-13,B.1.177
OU013986.1,2021-02-18,B.1.1.7
OM368866.1,2022-01-17,BA.1.1
OL966298.1,2021-12-07,AY.100
OK319109.1,2021-07-21,P.1.17
OM542500.1,2022-01-09,BA.1.1
MZ192651.1,2021-05-01,B.1.1.7
OU029275.1,2021-02-20,B.1.1.7
OM309622.1,2021-12-24,BA.1.1
OD901599.1,2020-11-13,W.4
OL837388.1,2021-11-24,AY.44
OL875377.1,2021-12-03,AY.100
OL355188.1,2021-08-13,AY.3.1
OM146984.1,2021-12-15,AY.44
OA984466.1,2020-09-16,AD.2
OM793437.1,2021-11-29,AY.120.1
MZ217931.1,2021-04-29,P.1
OL765224.1,2021-11-09,AY.64
ON238960.1,2021-01-07,B.1.2
OM639113.1,2022-01-23,BA.1.1
OM055211.1,2021-12-16,BA.1.15
OM690908.1,2021-11-01,AY.103
OA999560.1,2020-09-18,B.1.177
OD995376.1,2021-02-15,B.1.1.7
OM195843.1,2021-12-28,BA.1.20
OM495787.1,2022-01-13,AY.25
OV807229.1,2022-01-17,BA.1
MZ415640.1,2021-05-11,B.1.1.7
OV448129.1,2021-12-03,AY.43
OM085877.1,2021-12-20,BA.1.1
OW523410.1,2021-12-30,BA.1.15.1
OL932328.1,2021-11-20,AY.44
OM399521.1,2022-01-13,BA.1
MZ013404.1,2021-04-01,B.1.1.7
OL947599.1,2021-11-05,AY.54
MZ313073.1,2021-02-07,B.1.595
MZ685649.1,2021-05-24,Q.3
OM530073.1,2022-01-25,BA.1.1.6
OU802256.1,2021-07-17,AY.6
OD966004.1,2021-01-26,B.1.1.7
OD945885.1,2021-01-18,B.1.1.7
MZ321350.1,2021-05-09,B.1.526
OM294603.1,2021-12-17,AY.103
OU593498.1,2021-08-05,AY.4
OA982435.1,2020-09-09,B.1.610
OM684661.1,2022-01-30,BA.1.20
MZ011313.1,2021-04-01,B.1.1.7
OL532084.1,2021-07-03,P.1
ON776041.1,2021-03-30,B.1.429
OL957739.1,2021-12-01,AY.39
OL961123.1,2021-11-30,AY.25
ON316212.1,2021-12-21,AY.119
OU488883.1,2021-07-13,AY.98
OL369640.1,2021-04-28,P.1.10
OX072474.1,2022-01-08,BA.1
MZ004733.1,2021-03-31,B.1.1.7
OD949720.1,2020-11-22,B.1.177
OL987617.1,2021-12-13,AY.3
OM143743.1,2021-11-12,AY.44
OD921465.1,2020-11-12,B.1.610
MZ171515.1,2021-04-12,B.1.1.7
HG999245.1,2020-11-23,B.1.177.16
OD930233.1,2021-01-05,B.1.177.10
OM528459.1,2022-01-20,BA.1.18
OM040233.1,2021-12-20,BA.1.1
OM469843.1,2022-01-13,BA.1.1
MW692976.1,2021-02-10,B.1.346
MW766678.1,2021-02-02,C.23
OU859067.1,2021-09-16,AY.120
OD975232.1,2021-01-27,B.1.1.7
OV312333.1,2021-11-22,AY.4
MZ184468.1,2021-04-28,B.1.1.7
OM099986.1,2021-12-20,AY.103
OL734438.1,2021-11-06,AY.25.1
OM519026.1,2022-01-18,BA.1.15
OD995180.1,2021-02-14,B.1.1.7
OU796905.1,2021-06-26,unclassifiable
OM359053.1,2022-01-04,BA.1
MW984463.1,2021-03-24,B.1.1.7
MZ059688.1,2021-04-09,B.1.1.7
OW504078.1,2022-01-25,BA.1
ON665609.1,2021-11-19,AY.119
OM031182.1,2021-11-23,AY.44
ON094265.1,2022-01-28,BA.1.1.18
OM116353.1,2021-12-20,BA.1.20
OM620509.1,2022-01-29,BA.1.1
OM014326.1,2021-12-02,AY.44
OD911055.1,2020-12-11,B.1.177
OM665077.1,2022-01-29,BA.1.1
MW905481.1,2021-03-26,B.1.1.7
OL833809.1,2021-11-19,AY.25
OW480988.1,2022-01-01,BA.1
OM661817.1,2022-01-22,AY.39
OU392511.1,2021-04-29,B.1.1.7
OL837024.1,2021-11-24,AY.25
OM392431.1,2022-01-13,BA.1
OM096065.1,2021-12-06,AY.3
OD982129.1,2021-02-02,B.1.1.7
MZ318861.1,2021-05-11,B.1.526
OV316214.1,2021-11-03,AY.5
OM653382.1,2022-01-23,BA.1.1
OX071534.1,2022-01-08,BA.1
OD934283.1,2021-01-08,B.1.1.7
MZ506130.1,2021-06-07,B.1.1.7
MZ086109.1,2021-04-16,B.1.1.7
ON475910.1,2022-01-16,BA.1.1
OM012481.1,2021-12-15,BA.1.20
OM090697.1,2021-12-19,BA.1.1
OM044231.1,2021-12-15,AY.3
MZ164652.1,2021-03-26,B.1.526
OW507039.1,2022-01-25,BA.1.17.2
MZ944479.1,2021-07-30,B.1.415.1
MW733389.1,2021-02-21,B.1.234
OD952043.1,2021-01-14,B.1.1.7
OM817952.1,2022-02-01,BA.1.1
OM442504.1,2022-01-05,B.1.617.2
OM096845.1,2021-12-18,AY.25.1
OM191528.1,2021-12-20,AY.103
OU811354.1,2021-05-27,AY.9
MZ321400.1,2021-05-10,B.1.526
OD990500.1,2021-01-30,B.1.1.7
OL918662.1,2021-12-01,AY.118
OU421173.1,2021-06-10,AY.122
OD915409.1,2020-12-17,B.1.177
OL949585.1,2021-11-07,AY.39
OL987555.1,2021-12-13,AY.103
OD949286.1,2021-01-21,B.1.1.7
OW420923.1,2022-01-20,unclassifiable
MZ210613.1,2021-04-11,B.1.1.519
ON925986.1,2021-12-06,AY.3
OB991237.1,2020-11-02,B.1.177
ON291073.1,2021-02-09,B.1.160
OU417829.1,2021-06-20,AY.4
OX069716.1,2022-01-25,BA.1.1
OK250313.1,2021-03-19,B.1.575
OL967419.1,2021-11-29,AY.103
OM355434.1,2022-01-09,BA.1.1.18
OL833805.1,2021-11-19,AY.44
OU491915.1,2021-07-25,AY.4
OM033987.1,2021-12-09,AY.103
ON264137.1,2022-01-29,BA.1.1
OA984016.1,2020-09-10,B.1.177
MZ494043.1,2021-06-17,B.1.1.7
MZ722693.1,2020-12-26,B.1.2
OL950326.1,2021-11-07,AY.39
MW454683.1,2020-11-05,B.1.517
OL729738.1,2021-11-03,AY.103
OM661699.1,2022-01-21,BA.1.1
OL969292.1,2021-12-04,AY.103
OV006689.1,2021-09-28,AY.4
OL995020.1,2021-12-09,AY.103
OD906773.1,2020-12-10,B.1.177
OD953691.1,2021-01-22,B.1.1.7
OL991196.1,2021-12-01,AY.103
OU810328.1,2021-06-01,unclassifiable
ON486077.1,2021-06-29,AY.26
OM975856.1,2021-11-21,AY.44
MZ244665.1,2021-05-10,B.1.1.7
MZ193338.1,2021-04-23,B.1.526
OU806855.1,2021-05-29,AY.9
OM121475.1,2021-12-16,AY.100
ON274620.1,2021-12-13,AY.122
OM294465.1,2021-12-16,AY.103
MZ722584.1,2020-12-17,B.1.429
OM401047.1,2021-11-02,AY.44
OW095506.1,2021-12-13,BA.1
MZ278357.1,2021-05-01,Q.3
OA984727.1,2020-09-15,B.1.177
MZ278850.1,2021-05-03,B.1.1.7
OA983696.1,2020-09-10,B.1.177
OM572751.1,2022-01-26,BA.1.1
MZ436596.1,2021-05-29,B.1.1.7
MZ634208.1,2021-07-14,AY.25
MZ617938.1,2021-06-27,P.1
OM275228.1,2021-12-18,BA.1.15
OD927155.1,2020-12-29,B.1.1.7
OU807788.1,2020-10-30,unclassifiable
OL856861.1,2021-12-02,AY.121
OL991200.1,2021-12-01,AY.119
MZ434494.1,2021-05-11,B.1.1.7
OW500907.1,2022-01-06,BA.1.1
ON112782.1,2021-12-23,BA.1.17.2
OB994027.1,2020-11-02,B.1.177
OU488053.1,2021-07-17,AY.4
ON171095.1,2022-01-31,BA.1.1
MZ195407.1,2021-04-24,B.1.1.7
OM410886.1,2022-01-11,BA.1.1
OM173109.1,2021-12-22,AY.103
OU805950.1,2020-12-23,B.1.1.7
OM464314.1,2022-01-13,BA.1.1
OM306285.1,2022-01-04,BA.1.1
OM295705.1,2021-09-22,AY.126
OD982382.1,2021-01-20,B.1.1.7
MZ455994.1,2021-04-05,B.1.1.7
OL806333.1,2021-11-29,AY.3
OX090796.1,2022-01-03,BA.1
OM464109.1,2022-01-23,BA.1.15
OU393891.1,2021-03-11,B.1.1.7
OM099168.1,2021-12-19,AY.103
ON367290.1,2022-01-27,BA.1.1
OL740142.1,2021-09-20,AY.25
OM285056.1,2021-12-21,BA.1.1.18
MZ401730.1,2021-05-24,B.1.1.7
OD945171.1,2021-01-18,B.1.1.7
OW098806.1,2021-12-13,AY.4
OL921267.1,2021-11-26,AY.103
MZ025126.1,2021-04-01,B.1.1.519
OM149590.1,2021-12-14,AY.100
OD934264.1,2021-01-08,B.1.177.57
ON582825.1,2021-11-06,AY.99.2
OL834093.1,2021-11-20,AY.44
OD927413.1,2021-01-03,B.1.1.7
ON333162.1,2021-12-17,AY.25
MZ290827.1,2021-05-05,B.1.429
OM063502.1,2021-12-08,AY.44
OU355776.1,2021-06-10,AY.4
OW093412.1,2021-12-18,BA.1.16
OL933612.1,2021-12-06,AY.39
OM694600.1,2022-01-27,BA.1.20
OW095446.1,2021-12-18,BA.1.17.2
OD995507.1,2021-02-02,B.1.177.58
OA984378.1,2020-09-16,B.1.36.17
ON263877.1,2022-01-30,BA.1.1
MW681017.1,2020-10-20,B.1.298
ON102446.1,2022-01-08,BA.1.1
MZ636260.1,2021-01-12,B.1.429
ON298203.1,2020-09-04,B.1.1.269
OM093121.1,2021-12-22,BA.1
MZ341503.1,2021-05-17,P.1
MZ145317.1,2021-02-25,B.1.1.7
OM097397.1,2021-12-18,AY.103
OU814277.1,2021-06-02,AY.6
MZ641212.1,2021-04-27,B.1.526
OV113010.1,2021-11-04,AY.43
MZ090267.1,2021-04-11,B.1.1.7
MW778813.1,2021-02-19,B.1.349
OU809286.1,2021-06-05,unclassifiable
OL822059.1,2021-12-01,AY.119.2
OM566232.1,2022-01-20,BA.1.1
MW900206.1,2021-04-03,B.1.1.7
OM584764.1,2022-01-21,BA.1.1
OD934075.1,2021-01-08,B.1.1.7
OA998748.1,2020-09-29,B.1.177.11
OM098220.1,2021-12-18,BA.1.1
OM297903.1,2021-12-28,AY.3
MZ455195.1,2021-05-21,P.1.15
OD923846.1,2020-12-29,B.1.1.7
OM217163.1,2021-12-27,BA.1.1
OM296978.1,2021-12-22,BA.1.1
OL733993.1,2021-11-13,AY.44
MZ143087.1,2021-04-19,B.1.2
OD919269.1,2020-12-19,B.1.1.7
OB995676.1,2020-10-26,AD.2
OD984299.1,2021-02-11,B.1.1.7
ON673389.1,2022-01-22,BA.1.1.18
OM274930.1,2021-12-15,BA.1
OW099284.1,2021-12-02,AY.122
ON205375.1,2022-01-26,BA.1.1
OM513602.1,2022-01-19,BA.1.1
OM395825.1,2022-01-03,BA.1.1
OM022495.1,2021-12-17,AY.39
OW110663.1,2021-01-07,B.1.1.7
ON434169.1,2021-11-10,AY.122
OM234339.1,2022-01-02,BA.1.15
OM111464.1,2021-11-20,AY.44
OD979404.1,2021-01-17,B.1.1.7
OB994686.1,2020-11-02,B.1.1.159
OW106982.1,2021-11-29,AY.4
OM268291.1,2021-12-21,AY.3
OA996525.1,2020-10-06,B.1.177
MW585918.1,2021-01-18,B.1.609
OD914987.1,2020-12-18,C.16
MW928156.1,2020-11-09,B.1.240
OM670975.1,2022-01-25,BA.1.1
OU860770.1,2021-08-27,AY.4
OM355865.1,2021-12-26,AY.44
OL911652.1,2021-12-09,AY.103
ON305416.1,2022-01-19,BA.1.1
OM540527.1,2021-12-29,BA.1.20
MZ341960.1,2021-05-17,B.1.1.7
MZ012975.1,2021-03-23,B.1.1.7
OD926074.1,2020-11-14,B.1.1.7
MZ538690.1,2021-05-20,B.1.526
OM653357.1,2022-01-22,BA.1.1.18
OB991534.1,2020-11-02,B.1.177
ON099724.1,2022-01-26,BA.1.20
ON445614.1,2021-11-29,AY.43
MW550392.1,2020-12-14,B.1.375
OU860884.1,2021-08-11,AY.122
OU859607.1,2021-09-30,unclassifiable
MZ083575.1,2021-03-31,B.1.2
ON189808.1,2022-01-22,BA.1.1
OX074195.1,2022-01-11,BA.1.1
OX069312.1,2022-01-03,BA.1
OM080645.1,2021-12-07,AY.100
OM643027.1,2021-12-12,AY.103
MW772078.1,2021-02-27,B.1.1.316
OD909821.1,2020-12-10,B.1.177.20
OU012380.1,2021-02-12,B.1.1.7
ON217091.1,2021-01-12,B.1.427
OM542803.1,2022-01-14,BA.1.1
MW766518.1,2021-02-24,B.1.429
ON133607.1,2022-01-04,BA.1.1
OU733814.1,2021-08-01,AY.6
OL834064.1,2021-11-19,AY.119
OM619354.1,2022-01-27,BA.1.1
MW883258.1,2020-12-15,B.1.509
ON029151.1,2022-01-09,BA.1.1
ON613092.1,2021-01-27,B.1.2
ON615369.1,2022-02-01,BA.2
OM647749.1,2022-01-25,BA.1.1.2
OK292373.1,2021-03-23,B.1.1.7
OX076744.1,2022-01-27,BA.1
OM053471.1,2021-12-09,AY.119
OD912475.1,2020-12-16,B.1.1.7
OD982208.1,2021-02-05,B.1.1.7
OU992126.1,2021-10-19,AY.43
OL718478.1,2021-11-22,AY.25
OW460061.1,2021-08-26,AY.43
ON269516.1,2021-11-22,AY.43
OB986844.1,2020-10-21,B.1.1.28
OD899990.1,2020-11-13,B.1.177
OU387878.1,2021-01-11,B.1.1.7
OM666958.1,2022-01-25,BA.1.1
MZ637822.1,2021-02-15,B.1.526
OU812090.1,2021-07-15,AY.4
MW868332.1,2021-03-13,B.1.2
OL887717.1,2021-11-18,AY.3.1
OA992263.1,2020-10-01,B.1.177
OD908103.1,2020-11-18,B.1.177
OM904748.1,2022-01-31,BA.1.1
OM006656.1,2021-12-15,AY.103
MZ184641.1,2021-04-30,B.1.1.7
OW512610.1,2021-08-25,AY.120
ON287689.1,2021-10-12,B.1.1
OM337295.1,2021-12-28,BA.1.1
OM016478.1,2021-12-13,AY.100
OM401225.1,2021-10-28,AY.103
MW905524.1,2021-03-25,B.1.1.7
MW849942.1,2021-03-04,B.1.2
OM094972.1,2020-10-01,B.1
OV086918.1,2021-11-03,AY.4
OU471681.1,2021-03-03,B.1.1.7
OD989900.1,2021-01-27,B.1.1.7
MW758593.1,2021-02-24,B.1.2
OM226439.1,2021-12-29,BA.1.1
OM679087.1,2022-01-03,BA.1.15
MW907479.1,2020-10-16,B.1.2
ON281150.1,2021-07-28,AY.43
OK653997.1,2020-12-16,B.1.2
OM053644.1,2021-12-09,AY.44
OM569370.1,2022-01-19,BA.1
MZ011308.1,2021-04-01,B.1.1.7
OU814569.1,2020-10-09,B.1.177
OM724087.1,2022-01-28,BA.1
MZ315832.1,2021-05-06,B.1.1.7
MZ180820.1,2021-04-28,B.1.1.7
OK144127.1,2021-07-25,B.1.617.2
MZ354181.1,2021-05-12,B.1.1.7
OD960517.1,2021-01-28,B.1.1.7
OK173469.1,2021-01-11,B.1.400
MZ143677.1,2021-04-15,B.1.1.7
OD971565.1,2021-02-06,B.1.1.7
OV008114.1,2021-10-21,AY.6
OU392341.1,2021-01-12,B.1.177
MZ779929.1,2021-03-18,Q.3
OV087082.1,2021-10-26,unclassifiable
OW121394.1,2022-01-26,BA.1.17
OD962970.1,2021-01-25,B.1.1.7
OM585090.1,2022-01-21,BA.1.15
MZ029351.1,2021-04-02,B.1.429
MZ712887.1,2021-07-27,AY.44
MZ578722.1,2021-03-18,B.1.1.7
OB990848.1,2020-11-03,AD.2
OU534343.1,2021-07-24,AY.4
OM564943.1,2022-01-24,BA.1.1
MZ372840.1,2021-05-28,B.1.1.7
OK293162.1,2021-07-23,B.1.617.2
MZ499015.1,2021-01-04,B.1.2
OM699520.1,2022-02-01,BA.1.15
OU794807.1,2020-11-19,B.1.177.26
OB987640.1,2020-10-21,B.1.1.311
OK399299.1,2021-05-04,B.1.1.7
OD961079.1,2021-01-25,B.1.1.7
OM635714.1,2021-10-09,AY.103
OM619778.1,2022-01-28,BA.1.1
MW155134.1,2020-09-05,D.2
MZ694142.1,2021-07-11,B.1.1.7
ON513563.1,2021-12-30,BA.1.1.18
OV086093.1,2021-10-25,AY.4
OL821486.1,2021-12-04,AY.39.1
OM053874.1,2021-12-11,AY.100
MZ639679.1,2021-03-31,B.1.526
OB990143.1,2020-10-22,B.1.1.204
MW897520.1,2021-02-03,B.1.2
OM646505.1,2022-01-23,BA.1.1.18
MW679504.1,2021-02-05,B.1.1.207
OD912397.1,2020-12-11,B.1.177.16
OM952841.1,2022-01-10,AY.103
OW410920.1,2021-09-22,AY.4
